key,title,artifacts
conf/asplos/AbadalCAT16,WiSync: An Architecture for Fast Synchronization through On-Chip Wireless Communication.,
conf/asplos/AwadMHSH16,Silent Shredder: Zero-Cost Shredding for Secure Non-Volatile Main Memory Controllers.,
conf/asplos/BornholtKLKTW16,Specifying and Checking File System Crash-Consistency Models.,http://sandcat.cs.washington.edu/ferrite
conf/asplos/FanZL16,The Computational Sprinting Game.,
conf/asplos/KimKBNW16,NVWAL: Exploiting NVRAM in Write-Ahead Logging.,
conf/asplos/LinCLMHXS16,Scalable Kernel TCP Design and Implementation for Short-Lived Connections.,https://github.com/fastos/fastsocket
conf/asplos/MaoCXS16,RID: Finding Reference Count Bugs with Inconsistent Path Pair Checking.,
conf/asplos/McKinley16,Programming Uncertain &lt;T&gt;jhings.,
conf/asplos/Williams16,Brain Inspired Computing.,
conf/asplos/Witchel16,Programmer Productivity in a World of Mushy Interfaces: Challenges of the Post-ISA Reality.,
conf/iccad/AbusultanK16,A flash-based digital circuit design flow.,
conf/iccad/BatselierCLW16,A tensor-based volterra series black-box nonlinear system identification and simulation framework.,
conf/iccad/ChenS16,A new tightly-coupled transient electro-thermal simulation method for power electronics.,
conf/iccad/HuangLKN16,Overview of the 2016 CAD contest at ICCAD.,
conf/iccad/KannanS16,Performance driven routing for modern FPGAs.,
conf/iccad/KuDMRL16,How much cost reduction justifies the adoption of monolithic 3D ICs at 7nm node?,
conf/iccad/PattisonAAGV16,GPlace: a congestion-aware placement tool for ultrascale FPGAs.,
conf/iccad/PeanoRGNB16,Design technology for fault-free and maximally-parallel wavelength-routed optical networks-on-chip.,
conf/iccad/SinhaZHRBC16,Generation and use of statistical timing macro-models considering slew and load variability.,
conf/iccad/Topaloglu16,ICCAD-2016 CAD contest in pattern classification for integrated circuit design space analysis and benchmark suite.,
conf/icml/GaoLZ16,Exact Exponent in Optimal Rates for Crowdsourcing.,
conf/icml/KawakitaT16,Barron and Cover's Theory in Supervised Learning and its Application to Lasso.,
conf/icml/MnihR16,Variational Inference for Monte Carlo Objectives.,
conf/icml/NatarajanKRD16,Optimal Classification with Multivariate Losses.,
conf/icml/PuleoM16,Correlation Clustering and Biclustering with Locally Bounded Errors.,
conf/icml/Shalev-Shwartz16,"SDCA without Duality, Regularization, and Individual Convexity.",
conf/icml/ShenLX16,Online Low-Rank Subspace Clustering by Basis Dictionary Pursuit.,
conf/icml/SyrgkanisKS16,Efficient Algorithms for Adversarial Contextual Learning.,
conf/icml/XuZCL16,Matrix Eigen-decomposition via Doubly Stochastic Riemannian Optimization.,
conf/icml/YoonAHS16,ForecastICU: A Prognostic Decision Support System for Timely Prediction of Intensive Care Unit Admission.,
conf/imc/AlcockMN16,Sneaking Past the Firewall: Quantifying the Unexpected Traffic on Major TCP and UDP Ports.,
conf/imc/GhobadiM16,Optical Layer Failures in a Large Backbone.,
conf/imc/HastingsFH16,Weak Keys Remain Widespread in Network Devices.,
conf/imc/KlickLW016,Towards Better Internet Citizenship: Reducing the Footprint of Internet-wide Scans by Topology Aware Prefix Selection.,
conf/imc/KrencF16,BGP Prefix Delegations: A Deep Dive.,
conf/imc/LeeS16,Identifying and Aggregating Homogeneous IPv4 /24 Blocks with Hobbit.,http://www.cs.umd.edu/~ydlee/hobbit/
conf/imc/LeungRCW16,Should You Use the App for That?: Comparing the Privacy Implications of App- and Web-based Online Services.,https://recon.meddle.mobi/appvsweb/
conf/imc/LiuTZZZZ16,Network Growth and Link Prediction Through an Empirical Lens.,
conf/imc/SenPPFSCG16,On the Free Bridge Across the Digital Divide: Assessing the Quality of Facebook's Free Basics Service.,
conf/imc/VanderSlootABDB16,Towards a Complete View of the Certificate Ecosystem.,
conf/lics/BenediktBB16,A Step Up in Expressiveness of Decidable Fixpoint Logics.,
conf/lics/BenediktBCP16,Querying Visible and Invisible Information.,https://arxiv.org/pdf/1509.01683
conf/lics/Chatterjee016,Perfect-Information Stochastic Games with Generalized Mean-Payoff Objectives.,
conf/lics/ChatterjeeHO16,Quantitative Automata under Probabilistic Semantics.,
conf/lics/Galicki16,Effective Brenier Theorem: Applications to Computable Analysis and Algorithmic Randomness.,
conf/lics/HerlihyM16,Blockchains and the Logic of Accountability: Keynote Address.,
conf/lics/HughesH16,Conflict nets: Efficient locally canonical MALL proof nets.,
conf/lics/Kopczynski16,Invisible Pushdown Languages.,
conf/lics/Kozen16,"Kolmogorov Extension, Martingale Convergence, and Compositionality of Processes.",
conf/lics/Kozik16,Weak consistency notions for all the CSPs of bounded width.,
conf/micro/AlwaniCFM16,Fused-layer CNN accelerators.,
conf/micro/GogteKCDW16,HARE: Hardware accelerator for regular expressions.,
conf/micro/JainHLKHLMTM16,Concise loads and stores: The case for an asymmetric compute-memory architecture for approximation.,
conf/micro/JainLTM16,Continuous shape shifting: Enabling loop co-optimization via near-free dynamic code rewriting.,
conf/micro/JeffreySAES16,Data-centric execution of speculative parallel programs.,
conf/micro/KallurkarS16,pTask: A smart prefetching scheme for OS intensive applications.,
conf/micro/Martonosi16,"Keynotes: Internet of Things: History and hype, technology and policy.",
conf/micro/SantriajiH16,GRAPE: Minimizing energy for GPU applications with performance requirements.,https://github.com/grapemicro/GRAPE.git
conf/micro/YazdaniSAG16,An ultra low-power hardware accelerator for automatic speech recognition.,
conf/micro/ZhangCS16,Exploiting semantic commutativity in hardware speculation.,
conf/naacl/BootenH16,Patterns of Wisdom: Discourse-Level Style in Multi-Sentence Quotations.,
conf/naacl/FerreiraV16,Emergent: a novel data-set for stance classification.,https://github.com/willferreira/mscproject
conf/naacl/GirleaGA16,Psycholinguistic Features for Deceptive Role Detection in Werewolf.,
conf/naacl/KiritchenkoM16a,Sentiment Composition of Words with Opposing Polarities.,
conf/naacl/LacroixAWY16,Frustratingly Easy Cross-Lingual Transfer for Transition-Based Dependency Parsing.,
conf/naacl/Moosavi016,Search Space Pruning: A Simple Solution for Better Coreference Resolvers.,http://github.com/smartschat/cort
conf/naacl/PaetzoldS16,Inferring Psycholinguistic Properties of Words.,http://ghpaetzold.github.io/data/BootstrappedMRC.zip
conf/naacl/SchwartzRR16,Symmetric Patterns and Coordinations: Fast and Enhanced Representations of Verbs and Adjectives.,http://www.cs.huji.ac.il/∼roys02/papers/sp_sg/sp_sg.html https://code.google.com/p/word2vec/ https://bitbucket.org/yoavgo/word2vecf
conf/naacl/SennrichHB16,Controlling Politeness in Neural Machine Translation via Side Constraints.,
conf/naacl/SharmaGMBSMS16,Shallow Parsing Pipeline - Hindi-English Code-Mixed Social Media Text.,http://bit.ly/csmt-parser-api
conf/sigsoft/Alimadadi16,Understanding behavioural patterns in JavaScript.,https://github.com/blog/2047-language-trends-on-github
conf/sigsoft/Gullapalli16,"Atlas: an intelligent, performant framework for web-based grid computing.",
conf/sigsoft/Hammoudi16,Regression testing of web applications using Record/Replay tools.,
conf/sigsoft/Hilton16,Understanding and improving continuous integration.,
conf/sigsoft/Huang16,"Model, execute, and deploy: answering the hard questions in end-user programming (showcase).",
conf/sigsoft/JacksonV16,Correct or usable? the limits of traditional verification (impact paper award).,
conf/sigsoft/Kurtz16,On the utility of dominator mutants for mutation testing.,
conf/sigsoft/Mahmud16,Making invisible things visible: tracking down known vulnerabilities at 3000 companies (showcase).,
conf/sigsoft/Panchekha16,Generating interactive web pages from storyboards.,
conf/sigsoft/Sadowski16,Developer workflow at google (showcase).,
conf/vr/BeraKM16,Interactive and adaptive data-driven crowd simulation: User study.,http://gamma.cs.unc.edu/DDPD
conf/vr/Bickmore16,Capstone speaker: Agents? Seriously.,
conf/vr/BodenheimerWMR16,Induction of linear and circular vection in real and virtual worlds.,
conf/vr/HollererILS16,Program chair message.,
conf/vr/Lin16,Keynote speaker: Towards immersive multimodal display: Interactive auditory rendering for complex virtual environments.,
conf/vr/LinJ16,The effect of realism on the virtual hand illusion.,
conf/vr/PeerP16,Perceptual space warping: Preliminary exploration.,
conf/vr/TeofiloNSASN16,Bringing basic accessibility features to virtual reality context.,
conf/vr/ZielaskoHFWK16,Evaluation of hands-free HMD-based navigation techniques for immersive data analysis.,
conf/vr/ZielinskiRPAK16,Evaluating the effects of image persistence on dynamic target acquisition in low frame rate virtual environments.,
conf/www/BensonKT16a,On the Relevance of Irrelevant Alternatives.,
conf/www/ChopraS16,From Social Machines to Social Protocols: Software Engineering Foundations for Sociotechnical Systems.,
conf/www/Fox16,"Dot Everyone!!: Power, the Internet and You.",
conf/www/Kawamae16,N-gram over Context.,
conf/www/LemePV16,A Field Guide to Personalized Reserve Prices.,
conf/www/NobataTTMC16,Abusive Language Detection in Online User Content.,https://github.com/turian/ https://code.google.com/p/word2vec/
conf/www/RahmanW16,Hidden Topic Sentiment Model.,
conf/www/RitzeLOB16,Profiling the Potential of Web Tables for Augmenting Cross-domain Knowledge Bases.,
conf/www/YangIF16,Mean Field Equilibria for Competitive Exploration in Resource Sharing Settings.,
conf/www/Zurko16,La Sécurité Ouverte How We Doin? So Far?,
